Rk,Player,Pos,Age,Tm,MP,FG,FGA,FT,FTA,PF,PTS
182,Jerami Grant,SF,20,PHI,1377,124,352,114,193,144,411
312,Jerel McNeal,PG,27,PHO,36,3,11,2,2,5,9
145,Jeremy Evans,SF,27,UTA,266,32,58,24,29,29,90
269,Jeremy Lamb,SG,22,OKC,633,104,250,49,55,52,295
284,Jeremy Lin,PG,26,LAL,1907,277,654,213,268,189,832
255,Jerome Jordan,C,28,BRK,383,50,94,38,44,58,138
44,Jerrelle Benimon,PF,23,UTA,3,0,0,0,0,0,0
38,Jerryd Bayless,PG,26,MIL,1717,220,516,121,137,163,598
159,Jimmer Fredette,PG,25,NOP,509,63,166,43,45,43,178
74,Jimmy Butler,SG,25,CHI,2513,421,912,386,463,108,1301
343,Joakim Noah,C,29,CHI,2049,190,427,105,174,203,485
314,Jodie Meeks,SG,27,DET,1462,222,534,145,160,76,663
201,Joe Harris,SG,23,CLE,493,48,120,9,15,62,136
230,Joe Ingles,SF,27,UTA,1673,147,354,30,40,124,396
246,Joe Johnson,SG,33,BRK,2791,446,1025,141,176,120,1154
20,Joel Anthony,C,32,DET,406,36,62,15,22,55,87
160,Joel Freeland,C,27,POR,617,74,151,21,25,93,169
129,Joey Dorsey,PF,31,HOU,854,80,145,24,83,157,184
272,Joffrey Lauvergne,C,23,DEN,268,36,89,18,28,43,93
210,John Henson,C,24,MIL,1228,196,346,78,137,152,470
239,John Jenkins,SG,23,ATL,297,49,99,16,19,15,135
291,John Lucas III,PG,32,DET,272,42,104,5,5,18,98
398,John Salmons,SF,35,NOP,270,16,48,2,4,25,42
462,John Wall,PG,24,WAS,2837,519,1166,284,362,180,1387
349,Johnny O'Bryant,PF,21,MIL,368,44,120,12,27,44,100
282,Jon Leuer,PF,25,MEM,824,121,273,37,59,86,286
241,Jonas Jerebko,PF,27,BOS,527,78,181,25,30,58,207
452,Jonas Valanciunas,C,22,TOR,2096,373,652,217,276,222,963
2,Jordan Adams,SG,20,MEM,248,35,86,14,23,24,94
95,Jordan Clarkson,PG,22,LAL,1476,267,596,131,158,109,703
151,Jordan Farmar,PG,28,LAC,529,61,158,10,11,52,167
193,Jordan Hamilton,SF,24,LAC,122,14,35,0,0,14,38
215,Jordan Hill,C,27,LAL,1874,357,777,124,168,164,841
191,Jorge Gutierrez,PG,26,MIL,131,15,27,7,10,16,37
80,Jose Calderon,PG,33,NYK,1270,147,354,29,32,76,382
313,Josh McRoberts,PF,27,MIA,296,28,53,8,13,41,72
417,Josh Smith,PF,29,HOU,1404,261,596,75,144,146,660
218,Jrue Holiday,PG,24,NOP,1303,238,534,65,76,110,592
378,Julius Randle,PF,20,LAL,14,1,3,0,2,1,2
194,Justin Hamilton,C,24,MIN,423,58,113,33,40,37,153
219,Justin Holiday,SG,25,GSW,657,91,235,37,45,54,254
348,Jusuf Nurkic,C,20,DEN,1103,171,383,84,132,207,426
307,K.J. McDaniels,SG,21,HOU,33,5,15,1,2,5,11
290,Kalin Lucas,PG,25,MEM,6,0,1,0,0,1,0
280,Kawhi Leonard,SF,23,SAS,2033,394,822,202,252,128,1057
352,Kelly Olynyk,C,23,BOS,1423,251,528,93,136,213,656
461,Kemba Walker,PG,24,CHO,2119,378,981,234,283,92,1075
296,Kendall Marshall,PG,23,MIL,417,46,101,8,9,26,118
365,Kendrick Perkins,C,30,CLE,167,20,41,4,8,27,44
150,Kenneth Faried,PF,25,DEN,2086,373,736,199,288,211,946
40,Kent Bazemore,SG,25,ATL,1324,141,331,60,100,127,390
81,Kentavious Caldwell-Pope,SG,21,DET,2587,390,972,110,158,161,1043
298,Kenyon Martin,PF,37,MIL,104,9,22,2,2,13,20
139,Kevin Durant,SF,26,OKC,913,238,467,146,171,40,686
165,Kevin Garnett,PF,38,MIN,98,18,31,2,4,13,38
288,Kevin Love,PF,26,CLE,2532,413,952,258,321,140,1228
299,Kevin Martin,SG,31,MIN,1302,267,625,170,193,76,779
405,Kevin Seraphin,C,25,WAS,1235,231,450,58,82,197,520
316,Khris Middleton,SF,23,MIL,2378,406,869,134,156,183,1055
217,Kirk Hinrich,SG,34,CHI,1610,142,381,35,50,144,377
442,Klay Thompson,SG,24,GSW,2455,602,1299,225,256,122,1668
68,Kobe Bryant,SG,36,LAL,1207,266,713,196,241,65,782
267,Kosta Koufos,C,25,MEM,1348,182,358,55,85,148,419
355,Kostas Papanikolaou,SF,24,HOU,795,69,197,13,18,71,182
